nameWithOwner,createdAt,stargazerCount,commitCount
opensearch-project/OpenSearch,2021-01-29T22:10:00Z,8542,1838
zhoutaoo/SpringCloud,2017-07-23T14:28:08Z,8506,2
SonarSource/sonarqube,2011-01-05T11:05:17Z,8499,2943
junit-team/junit4,2009-01-13T03:41:26Z,8497,6
apache/cassandra,2009-05-21T02:10:09Z,8488,1551
shwenzhang/AndResGuard,2015-10-11T11:48:06Z,8453,1
airbnb/epoxy,2016-08-08T23:05:11Z,8440,10
roughike/BottomBar,2016-03-16T01:31:05Z,8424,0
sohutv/cachecloud,2016-01-26T05:46:01Z,8410,35
spring-projects/spring-security,2012-01-10T21:50:57Z,8348,2356
provectus/kafka-ui,2019-11-26T15:55:55Z,8348,374
amitshekhariitbhu/Android-Debug-Database,2016-11-16T14:20:24Z,8331,1
apache/shenyu,2018-07-11T08:17:45Z,8264,598
hs-web/hsweb-framework,2016-01-18T03:51:39Z,8245,174
LawnchairLauncher/lawnchair,2017-03-03T13:12:58Z,8240,6572
florent37/MaterialViewPager,2015-04-24T17:53:15Z,8165,0
checkstyle/checkstyle,2013-08-31T02:05:05Z,8103,1470
google/tsunami-security-scanner,2020-06-03T16:20:00Z,8083,53
apache/shardingsphere-elasticjob,2015-09-11T11:28:52Z,8045,193
Team-xManager/xManager,2021-02-08T11:31:10Z,7987,232
Netflix/SimianArmy,2012-07-06T22:00:05Z,7956,0
alibaba/otter,2013-08-09T09:31:22Z,7947,2
barteksc/AndroidPdfViewer,2016-06-02T20:21:21Z,7944,0
JakeWharton/hugo,2013-11-25T09:16:40Z,7916,0
apache/jmeter,2010-05-26T23:38:07Z,7870,481
HannahMitt/HomeMirror,2015-08-23T03:20:08Z,7869,0
karatelabs/karate,2017-02-07T15:59:17Z,7810,295
aritraroy/UltimateAndroidReference,2017-04-10T07:28:27Z,7803,0
Tencent/Hippy,2019-11-15T01:55:31Z,7788,754
flyway/flyway,2012-12-14T18:43:22Z,7733,41
trello/RxLifecycle,2015-07-20T13:32:23Z,7718,0
testcontainers/testcontainers-java,2015-04-12T12:44:59Z,7704,1821
StarRocks/starrocks,2021-09-04T02:29:35Z,7643,8518
facebook/litho,2017-01-27T03:59:11Z,7640,2214
wildfirechat/im-server,2019-01-23T15:21:28Z,7640,114
vipshop/vjtools,2018-05-29T09:07:08Z,7600,0
kaushikgopal/RxJava-Android-Samples,2014-07-23T05:13:52Z,7551,1
goldze/MVVMHabit,2017-07-21T10:38:40Z,7502,0
