nameWithOwner,createdAt,stargazerCount,commitCount
grpc/grpc-java,2014-12-08T19:00:00Z,11118,605
jfeinstein10/SlidingMenu,2012-06-30T05:14:23Z,11096,0
androidannotations/androidannotations,2012-01-06T08:48:03Z,11081,0
H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10981,0
lingochamp/FileDownloader,2015-12-22T11:17:16Z,10947,0
amitshekhariitbhu/android-interview-questions,2017-07-09T18:47:24Z,10842,41
alibaba/vlayout,2017-02-27T08:11:47Z,10805,0
newbee-ltd/newbee-mall,2019-09-21T03:56:04Z,10762,4
metersphere/metersphere,2020-02-03T02:06:12Z,10749,3664
square/javapoet,2013-02-01T16:56:30Z,10669,50
android-async-http/android-async-http,2011-02-20T03:25:07Z,10640,0
xiaojieonly/Ehviewer_CN_SXJ,2020-11-09T06:14:31Z,10628,210
apereo/cas,2011-09-09T01:36:42Z,10599,2580
jeasonlzy/okhttp-OkGo,2016-01-15T10:35:24Z,10587,0
aosp-mirror/platform_frameworks_base,2008-10-21T18:20:37Z,10571,149569
cryptomator/cryptomator,2014-02-02T00:43:47Z,10569,1062
tbruyelle/RxPermissions,2015-09-29T13:55:09Z,10480,0
lipangit/JiaoZiVideoPlayer,2016-02-06T11:04:24Z,10463,0
OpenRefine/OpenRefine,2012-10-15T02:22:48Z,10416,713
google/auto,2013-05-22T21:41:56Z,10346,273
Snoopy1866/LiTiaotiao-Custom-Rules,2023-06-12T12:58:52Z,10256,710
JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,10146,0
doocs/jvm,2018-06-23T01:12:59Z,10138,12
Activiti/Activiti,2012-09-13T11:34:43Z,9882,116
wasabeef/glide-transformations,2015-01-09T10:33:29Z,9862,0
jwtk/jjwt,2014-09-13T01:06:24Z,9790,76
debezium/debezium,2016-01-22T20:17:05Z,9788,2084
HarlonWang/AVLoadingIndicatorView,2015-10-24T20:18:33Z,9723,0
kekingcn/kkFileView,2017-12-12T11:41:08Z,9721,419
YoKeyword/Fragmentation,2016-02-23T08:54:55Z,9720,0
ksoichiro/Android-ObservableScrollView,2014-11-08T14:45:20Z,9658,0
hackware1993/MagicIndicator,2016-06-26T08:20:43Z,9644,0
react-native-camera/react-native-camera,2015-04-01T00:54:40Z,9639,0
liaohuqiu/android-Ultra-Pull-To-Refresh,2014-11-13T03:13:10Z,9597,0
perwendel/spark,2011-05-05T11:52:05Z,9593,0
lzyzsd/JsBridge,2015-02-26T12:10:58Z,9590,0
koral--/android-gif-drawable,2013-01-30T01:37:46Z,9502,5
umano/AndroidSlidingUpPanel,2013-05-31T18:33:53Z,9489,0
lihengming/spring-boot-api-project-seed,2017-06-23T10:06:30Z,9487,0
MyCATApache/Mycat-Server,2014-12-04T02:46:54Z,9462,1
plantuml/plantuml,2010-11-04T15:55:50Z,9459,530
trinodb/trino,2019-01-19T06:38:14Z,9451,6491
stanfordnlp/CoreNLP,2013-06-27T21:13:49Z,9426,267
pockethub/PocketHub,2011-09-08T16:52:50Z,9397,0
apple/pkl,2024-01-19T17:28:45Z,9260,136
OpenFeign/feign,2013-06-26T23:28:16Z,9234,346
datahub-project/datahub,2015-11-18T05:47:40Z,9124,2263
Justson/AgentWeb,2017-05-12T07:45:56Z,9112,10
crossoverJie/cim,2018-05-20T15:55:56Z,9106,0
GcsSloop/AndroidNote,2016-01-04T23:51:36Z,9066,0
navasmdc/MaterialDesignLibrary,2014-09-30T07:37:17Z,9009,0
ssssssss-team/spider-flow,2020-03-27T11:07:15Z,9001,0
huanghaibin-dev/CalendarView,2017-03-11T07:16:09Z,8948,0
didi/VirtualAPK,2017-06-29T07:25:05Z,8948,0
cats-oss/android-gpuimage,2012-10-04T08:11:58Z,8879,0
awsdocs/aws-doc-sdk-examples,2016-08-18T19:06:57Z,8833,1157
laobie/StatusBarUtil,2016-02-15T03:06:06Z,8822,0
signalapp/Signal-Server,2013-12-09T07:10:36Z,8806,961
PaperMC/Paper,2016-01-22T05:40:19Z,8742,1022
zfile-dev/zfile,2019-08-19T13:57:56Z,8726,61
firebase/quickstart-android,2016-04-26T17:13:27Z,8704,90
Blankj/awesome-java-leetcode,2017-04-17T15:51:41Z,8655,0
KunMinX/Jetpack-MVVM-Best-Practice,2019-10-31T05:21:01Z,8631,51
chrisjenx/Calligraphy,2013-12-20T02:35:45Z,8589,0
json-path/JsonPath,2011-01-24T13:19:19Z,8577,23
ybq/Android-SpinKit,2016-03-20T08:40:51Z,8566,0
shwenzhang/AndResGuard,2015-10-11T11:48:06Z,8453,1
dropwizard/dropwizard,2011-01-19T19:52:29Z,8447,730
airbnb/epoxy,2016-08-08T23:05:11Z,8441,10
roughike/BottomBar,2016-03-16T01:31:05Z,8421,0
sohutv/cachecloud,2016-01-26T05:46:01Z,8410,35
react-native-image-picker/react-native-image-picker,2015-06-08T20:25:31Z,8345,63
provectus/kafka-ui,2019-11-26T15:55:55Z,8340,374
amitshekhariitbhu/Android-Debug-Database,2016-11-16T14:20:24Z,8330,1
apache/shenyu,2018-07-11T08:17:45Z,8262,596
hs-web/hsweb-framework,2016-01-18T03:51:39Z,8245,174
alibaba/atlas,2017-02-28T06:31:43Z,8116,0
checkstyle/checkstyle,2013-08-31T02:05:05Z,8105,1462
google/tsunami-security-scanner,2020-06-03T16:20:00Z,8083,53
guolindev/LitePal,2013-02-20T03:20:07Z,8064,0
apache/shardingsphere-elasticjob,2015-09-11T11:28:52Z,8045,193
Team-xManager/xManager,2021-02-08T11:31:10Z,7980,232
Netflix/SimianArmy,2012-07-06T22:00:05Z,7956,0
barteksc/AndroidPdfViewer,2016-06-02T20:21:21Z,7940,0
HannahMitt/HomeMirror,2015-08-23T03:20:08Z,7869,0
apache/jmeter,2010-05-26T23:38:07Z,7865,481
ChrisRM/material-theme-jetbrains,2015-09-23T07:15:04Z,7859,0
karatelabs/karate,2017-02-07T15:59:17Z,7810,295
aritraroy/UltimateAndroidReference,2017-04-10T07:28:27Z,7802,0
dropwizard/metrics,2010-02-26T19:44:42Z,7794,380
trello/RxLifecycle,2015-07-20T13:32:23Z,7718,0
testcontainers/testcontainers-java,2015-04-12T12:44:59Z,7703,1819
facebook/litho,2017-01-27T03:59:11Z,7638,2207
wildfirechat/im-server,2019-01-23T15:21:28Z,7636,111
kaushikgopal/RxJava-Android-Samples,2014-07-23T05:13:52Z,7551,1
goldze/MVVMHabit,2017-07-21T10:38:40Z,7501,0
koush/AndroidAsync,2012-08-24T07:27:04Z,7492,0
google/android-classyshark,2015-10-12T13:40:48Z,7464,2
CatVodTVOfficial/TVBoxOSC,2022-06-23T00:40:29Z,7459,0
apache/beam,2016-02-02T08:00:06Z,7454,3789
lecho/hellocharts-android,2014-10-12T09:12:37Z,7423,0
conductor-oss/conductor,2023-12-08T06:06:09Z,7391,381
TechEmpower/FrameworkBenchmarks,2013-03-22T17:33:54Z,7357,951
swagger-api/swagger-core,2011-07-05T23:44:11Z,7328,152
dyc87112/SpringCloud-Learning,2016-08-21T03:39:52Z,7324,0
leolin310148/ShortcutBadger,2013-11-15T12:51:52Z,7322,0
flowable/flowable-engine,2016-10-13T07:21:43Z,7315,342
square/dagger,2012-08-02T23:25:32Z,7314,0
pentaho/pentaho-kettle,2013-10-08T18:27:11Z,7310,453
Bearded-Hen/Android-Bootstrap,2013-11-01T15:36:17Z,7289,0
abel533/Mapper,2014-11-21T11:02:10Z,7247,8
cymcsg/UltimateRecyclerView,2015-01-28T02:27:45Z,7226,0
Qihoo360/RePlugin,2017-06-08T09:39:09Z,7221,0
frohoff/ysoserial,2015-01-28T07:13:55Z,7220,6
google/agera,2015-12-17T13:22:58Z,7208,0
geeeeeeeeek/WeChatLuckyMoney,2015-09-30T16:11:20Z,7197,0
alibaba/transmittable-thread-local,2013-10-13T08:48:33Z,7166,116
apache/seatunnel,2017-08-05T09:14:47Z,7161,1142
lenve/VBlog,2017-12-26T11:01:55Z,7127,0
JakeWharton/ActionBarSherlock,2011-03-07T17:28:54Z,7110,0
real-logic/aeron,2014-02-07T17:16:58Z,7020,999
Graylog2/graylog2-server,2010-05-17T21:27:02Z,7014,2873
NLPchina/elasticsearch-sql,2014-08-24T14:26:31Z,6954,29
naman14/Timber,2015-06-12T16:43:55Z,6953,0
microg/GmsCore,2014-04-23T19:28:47Z,6828,383
didi/KnowStreaming,2020-03-19T05:13:51Z,6708,163
zo0r/react-native-push-notification,2015-12-14T19:53:36Z,6702,0
Meituan-Dianping/walle,2017-01-10T03:39:25Z,6699,0
google/error-prone,2014-08-21T23:26:50Z,6699,461
rest-assured/rest-assured,2010-10-21T08:35:43Z,6689,65
hongyangAndroid/AndroidAutoLayout,2015-11-19T02:09:11Z,6681,0
MinecraftForge/MinecraftForge,2012-01-30T01:35:01Z,6628,309
markzhai/AndroidPerformanceMonitor,2016-01-17T05:23:22Z,6624,0
mrniko/netty-socketio,2012-01-12T11:43:49Z,6607,153
zouzg/mybatis-generator-gui,2016-05-08T22:39:39Z,6588,0
GrenderG/Toasty,2017-01-18T18:52:41Z,6552,0
cabaletta/baritone,2018-08-01T15:34:21Z,6550,598
rabbitmq/rabbitmq-tutorials,2010-09-21T11:41:26Z,6526,86
h2pl/JavaTutorial,2018-05-01T15:57:21Z,6502,85
smuyyh/BookReader,2016-08-03T05:17:27Z,6489,0
processing/processing,2013-01-24T21:17:22Z,6442,1
vinc3m1/RoundedImageView,2013-02-22T01:17:37Z,6433,2
NLPchina/ansj_seg,2012-09-05T05:56:24Z,6426,3
PowerJob/PowerJob,2020-03-16T09:19:55Z,6413,262
zendesk/android-floating-action-button,2014-09-19T06:49:21Z,6374,0
ArthurHub/Android-Image-Cropper,2015-01-15T10:49:37Z,6373,1
527515025/springBoot,2016-11-07T02:13:31Z,6341,0
ximsfei/Android-skin-support,2017-01-12T15:03:54Z,6290,0
Meituan-Dianping/Leaf,2018-12-11T07:41:35Z,6273,0
sshahine/JFoenix,2015-09-08T14:04:24Z,6238,0
AsyncHttpClient/async-http-client,2011-03-07T13:41:46Z,6228,71
aa112901/remusic,2016-03-24T06:20:39Z,6215,0
wasabeef/richeditor-android,2015-03-30T16:19:20Z,6190,0
ityouknow/spring-cloud-examples,2017-04-28T08:48:53Z,6181,0
getActivity/AndroidProject,2018-10-23T10:30:55Z,6177,0
joelittlejohn/jsonschema2pojo,2013-06-22T22:28:53Z,6137,79
macrozheng/springcloud-learning,2019-09-07T02:36:16Z,6135,2
junit-team/junit5,2015-01-11T19:06:10Z,6131,703
ikew0ng/SwipeBackLayout,2013-08-25T03:36:12Z,6127,0
fuzhengwei/itstack-demo-design,2020-05-20T13:45:30Z,6118,6
rengwuxian/MaterialEditText,2014-10-30T10:07:23Z,6107,0
lightbend/config,2011-12-06T08:02:29Z,6081,5
daimajia/NumberProgressBar,2014-05-01T08:54:25Z,6066,0
amitshekhariitbhu/from-java-to-kotlin,2017-05-21T11:56:27Z,6060,2
wiremock/wiremock,2011-10-09T20:27:24Z,6041,714
quartz-scheduler/quartz,2016-03-07T14:05:37Z,6037,30
amitshekhariitbhu/from-java-to-kotlin,2017-05-21T11:56:27Z,6060,2
wiremock/wiremock,2011-10-09T20:27:24Z,6041,714
graphql-java/graphql-java,2015-07-06T06:52:20Z,6023,973
singwhatiwanna/dynamic-load-apk,2014-03-30T11:51:00Z,6018,0
raphw/byte-buddy,2013-11-25T19:38:03Z,5982,342
wyouflf/xUtils3,2015-10-28T10:56:04Z,5979,0
google/j2objc,2014-01-30T20:19:56Z,5976,243
antoniolg/androidmvp,2014-04-02T05:42:20Z,5944,0
micronaut-projects/micronaut-core,2018-03-07T12:05:08Z,5928,1387
springfox/springfox,2012-05-06T06:38:57Z,5899,0
weibocom/motan,2016-04-20T10:56:17Z,5867,33
Genymobile/gnirehtet,2017-02-09T16:01:13Z,5853,2
hazelcast/hazelcast,2012-03-21T12:25:18Z,5832,2088
lets-blade/blade,2015-06-10T03:35:49Z,5823,2
confluentinc/ksql,2016-09-27T21:30:15Z,5796,5393
robolectric/robolectric,2010-08-28T00:28:25Z,5784,887
Devlight/InfiniteCycleViewPager,2016-08-22T08:04:39Z,5759,0
springside/springside4,2012-02-23T08:39:03Z,5737,0
hibernate/hibernate-orm,2010-10-04T16:15:52Z,5722,3054
changmingxie/tcc-transaction,2015-12-05T04:27:53Z,5709,17
dmytrodanylyk/circular-progress-button,2014-06-07T12:58:48Z,5705,40
jpush/aurora-imui,2016-12-13T05:24:01Z,5694,0
k0shk0sh/FastHub,2017-02-18T17:53:16Z,5692,0
JakeWharton/u2020,2013-11-14T11:58:23Z,5681,0
AntennaPod/AntennaPod,2012-07-31T10:25:08Z,5677,363
LSPosed/LSPatch,2021-03-01T19:38:36Z,5668,38
gephi/gephi,2011-10-22T03:14:46Z,5657,623
amitshekhariitbhu/Fast-Android-Networking,2016-03-21T18:35:44Z,5648,1
auth0/java-jwt,2014-03-07T15:06:11Z,5642,22
daimajia/AndroidImageSlider,2014-06-02T06:04:17Z,5639,0
journeyapps/zxing-android-embedded,2012-11-28T16:36:39Z,5630,0
PojavLauncherTeam/PojavLauncher,2020-03-11T03:22:54Z,5629,1102
gz-yami/mall4cloud,2021-08-04T03:04:36Z,5596,83
amlcurran/ShowcaseView,2012-08-14T19:07:36Z,5595,0
alipay/SoloPi,2019-03-14T15:32:49Z,5569,0
knightliao/disconf,2014-05-30T09:39:27Z,5568,0
crazycodeboy/react-native-splash-screen,2016-09-14T10:43:55Z,5557,0
yanzhenjie/SwipeRecyclerView,2016-08-03T15:43:34Z,5556,0
wasabeef/Blurry,2015-07-23T14:12:08Z,5538,0
Nepxion/Discovery,2018-06-21T16:16:49Z,5512,35
emilsjolander/StickyListHeaders,2012-03-11T18:29:18Z,5512,0
Col-E/Recaf,2017-07-27T06:01:10Z,5511,7
vavr-io/vavr,2014-01-30T14:07:25Z,5509,10
sockeqwe/mosby,2015-03-25T00:59:19Z,5495,0
AriaLyy/Aria,2016-02-19T02:16:07Z,5493,0
alibaba/freeline,2016-08-03T17:22:52Z,5487,0
pig-mesh/pig,2019-08-26T03:24:53Z,5480,321
LandGrey/SpringBootVulExploit,2020-05-20T09:18:44Z,5474,0
facebookarchive/rebound,2013-10-11T01:12:37Z,5434,0
apache/iceberg,2018-11-19T16:26:46Z,5427,1810
TommyLemon/Android-ZBLibrary,2015-08-20T16:03:53Z,5418,8
apache/dubbo-spring-boot-project,2018-01-18T12:10:50Z,5400,1
wuhaoyu1990/MagicCamera,2016-01-08T11:36:56Z,5392,0
jeecgboot/JimuReport,2019-12-05T12:25:59Z,5391,60
google/google-java-format,2015-05-11T20:38:28Z,5391,92
Evernote/android-job,2015-08-20T19:36:54Z,5385,0
jgilfelt/SystemBarTint,2013-11-17T12:35:05Z,5366,0
danikula/AndroidVideoCache,2015-04-01T11:25:52Z,5350,1
XRecyclerView/XRecyclerView,2015-11-18T08:14:22Z,5335,0
commonsguy/cw-omnibus,2012-03-12T14:12:06Z,5334,0
baidu/uid-generator,2017-03-27T04:03:43Z,5331,0
KeepSafe/TapTargetView,2016-09-11T09:07:36Z,5323,0
h6ah4i/android-advancedrecyclerview,2015-01-24T16:14:39Z,5307,0
dromara/lamp-cloud,2018-01-17T02:51:04Z,5306,57
vespa-engine/vespa,2016-06-03T20:54:20Z,5292,12794
WeiYe-Jing/datax-web,2019-11-19T01:09:05Z,5286,0
apache/camel,2009-05-21T00:25:36Z,5284,7824
ElderDrivers/EdXposed,2019-01-18T16:18:19Z,5274,0
yixia/VitamioBundle,2012-10-19T08:40:49Z,5271,0
getActivity/XXPermissions,2018-06-15T14:31:29Z,5265,23
xxv/android-lifecycle,2014-04-18T14:26:22Z,5250,0
thinkaurelius/titan,2012-02-25T22:53:53Z,5243,0
Karumi/Dexter,2015-11-17T13:14:43Z,5233,0
Clans/FloatingActionButton,2015-03-21T12:36:16Z,5233,0
lucasr/twoway-view,2013-01-18T20:55:23Z,5231,0
Yalantis/Side-Menu.Android,2015-01-13T11:11:27Z,5230,0
mybatis/generator,2013-02-10T11:14:50Z,5225,436
youtube/api-samples,2013-12-09T18:41:41Z,5208,0
apache/flink-cdc,2020-07-27T19:23:33Z,5172,397
ZHENFENG13/spring-boot-projects,2017-04-01T01:50:14Z,5148,3
obsidiandynamics/kafdrop,2019-05-27T08:46:56Z,5144,104
Javen205/IJPay,2017-05-02T03:15:32Z,5133,52
opengoofy/hippo4j,2021-06-16T02:59:48Z,5132,300
google/google-authenticator,2014-10-08T17:54:27Z,5128,0
CoderLeixiaoshuai/java-eight-part,2020-10-16T16:27:04Z,5127,0
careercup/ctci,2013-03-21T23:01:01Z,5119,0
apache/hbase,2014-05-23T07:00:07Z,5093,511
hustcc/JS-Sorting-Algorithm,2017-01-19T11:36:21Z,5092,0
huangyanbin/smartTable,2017-11-08T01:11:14Z,5087,0
lingochamp/okdownload,2017-12-17T08:21:22Z,5080,0
apache/groovy,2015-04-16T07:00:05Z,5072,845
JanusGraph/janusgraph,2016-12-26T13:26:29Z,5070,366
CodingDocs/springboot-guide,2018-11-28T01:05:07Z,5050,0
spring-projects/spring-data-examples,2014-01-30T15:42:43Z,5047,30
wequick/Small,2015-11-27T11:37:20Z,5035,0
apache/hudi,2016-12-14T15:53:41Z,5019,1548
TeamAmaze/AmazeFileManager,2014-07-14T19:47:53Z,5016,488
Trinea/android-common,2012-06-19T07:49:46Z,5013,4
alibaba/UltraViewPager,2017-03-29T13:31:53Z,5001,0
frogermcs/InstaMaterial,2014-11-10T18:56:49Z,4996,0
mybatis/generator,2013-02-10T11:14:50Z,5225,436
youtube/api-samples,2013-12-09T18:41:41Z,5208,0
WuKongOpenSource/WukongCRM-11.0-JAVA,2021-04-06T10:58:55Z,5203,0
javaparser/javaparser,2011-10-30T14:03:44Z,5178,655
apache/flink-cdc,2020-07-27T19:23:33Z,5172,397
square/otto,2012-06-27T19:06:49Z,5170,0
Jasonchenlijian/FastBle,2016-08-23T02:06:33Z,5166,0
obsidiandynamics/kafdrop,2019-05-27T08:46:56Z,5144,104
opengoofy/hippo4j,2021-06-16T02:59:48Z,5132,300
CoderLeixiaoshuai/java-eight-part,2020-10-16T16:27:04Z,5127,0
razerdp/BasePopup,2016-01-15T03:31:07Z,5111,2
zfdang/Android-Touch-Helper,2020-10-16T00:58:41Z,5107,10
apache/pinot,2014-05-19T23:27:48Z,5094,1593
apache/hbase,2014-05-23T07:00:07Z,5093,511
hustcc/JS-Sorting-Algorithm,2017-01-19T11:36:21Z,5092,0
huangyanbin/smartTable,2017-11-08T01:11:14Z,5087,0
CodingDocs/springboot-guide,2018-11-28T01:05:07Z,5050,0
spring-projects/spring-data-examples,2014-01-30T15:42:43Z,5047,30
DerekYRC/mini-spring,2020-11-17T11:59:18Z,5022,11
apache/hudi,2016-12-14T15:53:41Z,5019,1548
TeamAmaze/AmazeFileManager,2014-07-14T19:47:53Z,5016,488
Trinea/android-common,2012-06-19T07:49:46Z,5013,4
orhanobut/dialogplus,2014-12-12T09:24:44Z,5003,0
alibaba/UltraViewPager,2017-03-29T13:31:53Z,5001,0
spring-attic/spring-mvc-showcase,2011-06-03T15:36:55Z,4998,0
