file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\api\JobConfiguration.java,org.apache.shardingsphere.elasticjob.api.JobConfiguration,"newBuilder/2[java.lang.String,int]",false,91,1,5,4,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\spi\executor\item\param\JobRuntimeService.java,org.apache.shardingsphere.elasticjob.spi.executor.item.param.JobRuntimeService,isNeedSharding/0,false,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\main\java\org\apache\shardingsphere\elasticjob\bootstrap\type\ScheduleJobBootstrap.java,org.apache.shardingsphere.elasticjob.bootstrap.type.ScheduleJobBootstrap,schedule/0,false,52,0,0,0,0,1,7,4,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\main\java\org\apache\shardingsphere\elasticjob\bootstrap\type\ScheduleJobBootstrap.java,org.apache.shardingsphere.elasticjob.bootstrap.type.ScheduleJobBootstrap,"ScheduleJobBootstrap/3[org.apache.shardingsphere.elasticjob.bootstrap.type.CoordinatorRegistryCenter,java.lang.String,org.apache.shardingsphere.elasticjob.api.JobConfiguration]",true,40,3,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\main\java\org\apache\shardingsphere\elasticjob\bootstrap\type\ScheduleJobBootstrap.java,org.apache.shardingsphere.elasticjob.bootstrap.type.ScheduleJobBootstrap,"ScheduleJobBootstrap/3[org.apache.shardingsphere.elasticjob.bootstrap.type.CoordinatorRegistryCenter,org.apache.shardingsphere.elasticjob.api.ElasticJob,org.apache.shardingsphere.elasticjob.api.JobConfiguration]",true,36,4,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\main\java\org\apache\shardingsphere\elasticjob\bootstrap\type\ScheduleJobBootstrap.java,org.apache.shardingsphere.elasticjob.bootstrap.type.ScheduleJobBootstrap,"ScheduleJobBootstrap/2[org.apache.shardingsphere.elasticjob.bootstrap.type.CoordinatorRegistryCenter,org.apache.shardingsphere.elasticjob.api.ElasticJob]",true,44,4,0,0,0,1,2,4,0,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\main\java\org\apache\shardingsphere\elasticjob\bootstrap\type\ScheduleJobBootstrap.java,org.apache.shardingsphere.elasticjob.bootstrap.type.ScheduleJobBootstrap,shutdown/0,false,58,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\spi\yaml\YamlConfiguration.java,org.apache.shardingsphere.elasticjob.spi.yaml.YamlConfiguration,toConfiguration/0,false,29,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\spi\tracing\event\JobExecutionEvent.java,org.apache.shardingsphere.elasticjob.spi.tracing.event.JobExecutionEvent,executionSuccess/0,false,66,1,1,0,1,1,2,6,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\main\java\org\apache\shardingsphere\elasticjob\spi\tracing\event\JobExecutionEvent.java,org.apache.shardingsphere.elasticjob.spi.tracing.event.JobExecutionEvent,executionFailure/1[java.lang.String],false,79,1,1,0,1,1,3,7,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,true
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\test\java\org\apache\shardingsphere\elasticjob\api\JobConfigurationTest.java,org.apache.shardingsphere.elasticjob.api.JobConfigurationTest,assertBuildAllProperties/0,false,32,3,18,0,18,1,41,21,0,1,0,41,0,0,0,0,0,0,22,6,1,0,0,0,0,0,12,0,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\test\java\org\apache\shardingsphere\elasticjob\api\JobConfigurationTest.java,org.apache.shardingsphere.elasticjob.api.JobConfigurationTest,assertBuildRequiredProperties/0,false,63,3,4,0,4,1,28,21,0,1,0,28,0,0,0,0,0,0,9,4,1,0,0,0,0,0,11,1,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\test\java\org\apache\shardingsphere\elasticjob\api\JobConfigurationTest.java,org.apache.shardingsphere.elasticjob.api.JobConfigurationTest,assertBuildWithEmptyJobName/0,false,86,1,0,0,0,1,4,3,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,1,7,0,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\api\src\test\java\org\apache\shardingsphere\elasticjob\api\JobConfigurationTest.java,org.apache.shardingsphere.elasticjob.api.JobConfigurationTest,assertBuildWithInvalidShardingTotalCount/0,false,91,1,0,0,0,1,4,3,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,1,8,0,0,false
C:\Users\tarci\Desktop\Lab02_Caracteristicas-de-Qualidade-de-Sistemas-Java\.\scripts\apache-shardingsphere-elasticjob\bootstrap\src\main\java\org\apache\shardingsphere\elasticjob\bootstrap\JobBootstrap.java,org.apache.shardingsphere.elasticjob.bootstrap.JobBootstrap,shutdown/0,false,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,true
